session_id,feedback_date,satisfaction_rating,liked_aspects_category,areas_for_improvement_category
1,2023-10-20 21:18:11.605,5,Overall Positive,Logistics and Quality
1,2023-10-20 21:18:17.436,5,Other,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:18:19.383,5,Environment,Movie Selection
1,2023-10-20 21:18:32.931,5,Movie Selection,Logistics and Quality
1,2023-10-20 21:18:50.588,4,Environment,Movie Selection
1,2023-10-20 21:18:58.678,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:19:00.282,3,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:19:11.227,5,Movie Selection,Logistics and Quality
1,2023-10-20 21:20:06.554,2,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:16.148,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:32.550,5,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:20:40.224,1,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:21:47.452,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:22:07.840,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:22:20.019,5,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:25:20.499,5,Movie Selection,No Feedback
1,2023-10-20 21:25:42.361,5,Environment,No Feedback
1,2023-10-20 21:25:58.445,5,Movie Selection,Other
1,2023-10-20 21:26:55.295,4,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:28:54.075,5,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:31:04.090,5,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:31:13.367,4,Other,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:32:03.049,5,Environment,Logistics and Quality
1,2023-10-20 21:32:57.796,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:40:36.975,4,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:40:51.778,4,Movie Selection,Logistics and Quality
1,2023-10-20 21:40:55.247,4,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-20 21:42:37.374,5,Environment,Logistics and Quality
1,2023-10-20 22:02:58.783,2,Movie Selection,Movie Selection
1,2023-10-20 22:05:54.403,5,Overall Positive,Positive Feedback (No Improvement Needed)
1,2023-10-20 22:16:37.843,4,Movie Selection,Other
1,2023-10-20 23:06:45.094,4,Movie Selection,Positive Feedback (No Improvement Needed)
1,2023-10-21 12:32:27.856,3,Environment,Positive Feedback (No Improvement Needed)
1,2023-10-21 14:01:10.874,5,Environment,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:50:16.238,5,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:52:29.940,3,Other,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:52:55.968,5,Overall Positive,Logistics and Quality
2,2023-11-06 20:52:59.033,5,Environment,Other
2,2023-11-06 20:54:08.551,5,No Feedback,No Feedback
2,2023-11-06 20:54:25.226,4,Movie Selection,Positive Feedback (No Improvement Needed)
2,2023-11-06 20:54:44.254,5,Overall Positive,Logistics and Quality
2,2023-11-06 20:55:04.599,5,Other,Other
2,2023-11-06 20:56:19.361,4,Movie Selection,Logistics and Quality
2,2023-11-06 21:00:03.251,5,Other,Other
2,2023-11-06 21:00:56.402,2,Environment,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:02:09.676,4,Environment,Logistics and Quality
2,2023-11-06 21:04:48.065,5,Organization,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:05:48.409,5,Organization,Logistics and Quality
2,2023-11-06 21:08:10.178,3,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:10:43.649,5,Movie Selection,Positive Feedback (No Improvement Needed)
2,2023-11-06 21:30:05.590,5,Overall Positive,Positive Feedback (No Improvement Needed)
2,2023-11-07 07:03:19.335,4,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:55:54.111,5,No Feedback,No Feedback
3,2023-11-23 21:55:59.622,5,Movie Selection,No Feedback
3,2023-11-23 21:56:28.295,5,Movie Selection,Movie Selection
3,2023-11-23 21:56:31.827,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:31.841,5,Other,Movie Selection
3,2023-11-23 21:56:44.684,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:55.352,5,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:56:56.214,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:21.437,5,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:22.663,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 21:57:48.239,5,Overall Positive,Movie Selection
3,2023-11-23 21:58:41.122,5,Overall Positive,Other
3,2023-11-23 21:59:17.554,5,Overall Positive,Logistics and Quality
3,2023-11-23 21:59:34.938,4,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:00:15.912,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:01:46.381,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:03:27.371,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:05:05.839,4,Movie Selection,Logistics and Quality
3,2023-11-23 22:08:26.974,5,Movie Selection,Logistics and Quality
3,2023-11-23 22:08:38.277,5,Environment,Logistics and Quality
3,2023-11-23 22:09:02.940,5,Environment,Logistics and Quality
3,2023-11-23 22:10:04.984,5,Overall Positive,Logistics and Quality
3,2023-11-23 22:11:13.568,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:13:52.248,5,Environment,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:14:28.147,4,Overall Positive,Positive Feedback (No Improvement Needed)
3,2023-11-23 22:17:35.479,5,Movie Selection,Movie Selection
3,2023-11-23 22:27:34.073,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-23 23:07:09.224,5,Movie Selection,Logistics and Quality
3,2023-11-24 00:10:08.873,4,Other,Positive Feedback (No Improvement Needed)
3,2023-11-24 06:32:00.737,5,Movie Selection,Positive Feedback (No Improvement Needed)
3,2023-11-24 16:15:48.096,5,Other,Other
4,2023-12-08 22:07:06.693,3,Movie Selection,Movie Selection
4,2023-12-08 22:08:23.331,2,No Feedback,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:08:30.843,1,Other,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:10:48.752,5,Movie Selection,Movie Selection
4,2023-12-08 22:12:33.404,3,Environment,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:13:18.392,4,Movie Selection,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:13:46.256,4,Organization,Logistics and Quality
4,2023-12-08 22:18:43.892,2,Other,Other
4,2023-12-08 22:19:51.390,5,Overall Positive,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:21:05.263,2,No Feedback,Movie Selection
4,2023-12-08 22:24:37.337,1,Other,Positive Feedback (No Improvement Needed)
4,2023-12-08 22:53:28.081,5,Movie Selection,Positive Feedback (No Improvement Needed)
4,2023-12-09 01:35:03.543,5,Movie Selection,Logistics and Quality
4,2023-12-09 06:36:44.070,2,Movie Selection,Positive Feedback (No Improvement Needed)
4,2023-12-09 09:44:54.106,4,Other,Movie Selection
5,2023-12-30 11:36:57.827,5,Movie Selection,Logistics and Quality
5,2023-12-30 11:37:13.765,5,Movie Selection,Positive Feedback (No Improvement Needed)
5,2023-12-30 11:38:42.053,5,Movie Selection,Other
5,2023-12-30 11:44:39.520,5,Overall Positive,Logistics and Quality
5,2023-12-30 11:59:53.939,5,Overall Positive,Timing
5,2023-12-30 13:41:11.345,5,Environment,Other
5,2023-12-30 15:25:31.450,5,Movie Selection,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:09:08.189,5,Other,Logistics and Quality
6,2024-02-16 21:09:12.238,5,Overall Positive,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:09:52.211,5,Movie Selection,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:09:59.392,5,Environment,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:10:06.987,5,Overall Positive,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:10:28.171,5,Overall Positive,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:10:34.683,5,Movie Selection,Logistics and Quality
6,2024-02-16 21:10:39.034,5,Environment,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:13:19.693,5,Organization,No Feedback
6,2024-02-16 21:13:41.670,5,Overall Positive,Logistics and Quality
6,2024-02-16 21:16:44.433,5,Environment,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:16:52.752,5,Movie Selection,Logistics and Quality
6,2024-02-16 21:18:23.185,5,Other,Movie Selection
6,2024-02-16 21:24:28.716,5,Movie Selection,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:27:45.066,5,Organization,Other
6,2024-02-16 21:32:11.536,4,Movie Selection,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:36:56.426,5,Movie Selection,Other
6,2024-02-16 21:39:01.351,4,Environment,Positive Feedback (No Improvement Needed)
6,2024-02-16 21:50:15.198,5,Movie Selection,Positive Feedback (No Improvement Needed)
6,2024-02-16 22:00:29.804,5,Overall Positive,No Feedback
6,2024-02-16 23:32:17.461,5,Movie Selection,Logistics and Quality
9,2024-10-11 21:29:14.207,5,Overall Positive,Other
9,2024-10-11 21:29:36.092,5,Organization,Other
9,2024-10-11 21:29:58.567,5,Environment,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:30:01.288,5,Movie Selection,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:30:08.279,5,Movie Selection,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:30:23.602,4,Movie Selection,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:30:38.330,5,Environment,Other
9,2024-10-11 21:30:51.768,5,Overall Positive,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:30:56.593,5,Organization,Logistics and Quality
9,2024-10-11 21:33:04.840,5,Overall Positive,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:33:18.044,5,Other,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:33:32.569,5,Organization,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:33:57.340,5,Other,Other
9,2024-10-11 21:34:31.528,4,Environment,Logistics and Quality
9,2024-10-11 21:35:39.899,4,Overall Positive,Other
9,2024-10-11 21:36:37.580,5,Organization,Logistics and Quality
9,2024-10-11 21:37:11.754,3,Organization,Logistics and Quality
9,2024-10-11 21:37:50.698,5,Movie Selection,Logistics and Quality
9,2024-10-11 21:45:39.053,5,Movie Selection,Positive Feedback (No Improvement Needed)
9,2024-10-11 21:52:28.588,5,Environment,Positive Feedback (No Improvement Needed)
9,2024-10-11 22:12:09.622,5,Organization,Positive Feedback (No Improvement Needed)
9,2024-10-11 22:28:34.706,5,Organization,Positive Feedback (No Improvement Needed)
9,2024-10-11 22:41:13.387,5,Other,Positive Feedback (No Improvement Needed)
9,2024-10-11 22:48:34.346,4,Organization,Positive Feedback (No Improvement Needed)
9,2024-10-11 22:49:55.453,5,Overall Positive,Other
10,2024-12-27 21:40:42.274,5,Overall Positive,No Feedback
10,2024-12-27 21:41:09.530,1,Other,Other
10,2024-12-27 21:41:13.161,3,Organization,Movie Selection
10,2024-12-27 21:41:27.504,4,Environment,Logistics and Quality
10,2024-12-27 21:41:30.826,5,Movie Selection,Positive Feedback (No Improvement Needed)
10,2024-12-27 21:41:54.842,5,Environment,Movie Selection
10,2024-12-27 21:41:59.555,5,Other,Positive Feedback (No Improvement Needed)
10,2024-12-27 21:43:05.008,3,Organization,Positive Feedback (No Improvement Needed)
10,2024-12-27 21:45:24.242,4,Environment,Movie Selection
10,2024-12-27 21:48:05.953,5,Overall Positive,No Feedback
10,2024-12-27 21:50:36.571,4,Movie Selection,Logistics and Quality
10,2024-12-27 21:52:27.046,4,Organization,Movie Selection
10,2024-12-27 21:53:12.622,5,Organization,No Feedback
10,2024-12-27 21:54:49.408,5,Environment,Positive Feedback (No Improvement Needed)
10,2024-12-27 22:10:12.195,4,Movie Selection,Movie Selection
10,2024-12-27 22:10:27.717,5,Movie Selection,Logistics and Quality
10,2024-12-27 23:23:44.315,4,Organization,Positive Feedback (No Improvement Needed)
10,2024-12-28 12:31:34.399,5,Organization,Movie Selection
10,2024-12-29 00:34:52.389,3,Overall Positive,Movie Selection
10,2024-12-30 00:28:44.025,1,Other,Movie Selection
11,2025-01-31 22:29:29.474,4,Movie Selection,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:29:49.038,5,Overall Positive,No Feedback
11,2025-01-31 22:29:51.046,5,Movie Selection,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:29:53.926,5,Movie Selection,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:30:18.645,5,Environment,Other
11,2025-01-31 22:31:10.510,5,Environment,Movie Selection
11,2025-01-31 22:33:17.469,4,Movie Selection,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:36:49.972,5,Movie Selection,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:37:20.562,4,Movie Selection,No Feedback
11,2025-01-31 22:37:47.438,4,Environment,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:39:25.903,5,Overall Positive,Logistics and Quality
11,2025-01-31 22:41:25.137,5,Overall Positive,Timing
11,2025-01-31 22:43:34.616,5,Overall Positive,Positive Feedback (No Improvement Needed)
11,2025-01-31 22:46:44.329,5,Organization,Positive Feedback (No Improvement Needed)
11,2025-01-31 23:04:06.737,5,Environment,Positive Feedback (No Improvement Needed)
11,2025-01-31 23:09:51.462,5,Environment,Logistics and Quality
11,2025-01-31 23:27:10.758,4,Movie Selection,Logistics and Quality
11,2025-02-02 20:14:12.147,4,Environment,Positive Feedback (No Improvement Needed)
11,2025-02-10 22:37:06.034,4,Organization,Logistics and Quality
12,2025-03-14 20:36:51.643,3,Environment,Movie Selection
12,2025-03-14 20:37:51.315,5,Environment,No Feedback
12,2025-03-14 20:37:55.779,4,Movie Selection,Logistics and Quality
12,2025-03-14 20:37:56.832,5,Environment,Logistics and Quality
12,2025-03-14 20:40:40.352,5,Movie Selection,Movie Selection
12,2025-03-14 20:42:41.466,5,Environment,Timing
12,2025-03-14 20:46:20.595,5,Organization,Logistics and Quality
12,2025-03-14 20:47:51.856,5,Movie Selection,Logistics and Quality
12,2025-03-14 20:51:50.666,4,Organization,Logistics and Quality
12,2025-03-14 20:57:14.832,5,Movie Selection,Positive Feedback (No Improvement Needed)
12,2025-03-14 21:20:24.847,5,Movie Selection,Movie Selection
12,2025-03-14 21:27:30.745,4,Overall Positive,Logistics and Quality
12,2025-03-15 02:28:43.673,3,Overall Positive,Positive Feedback (No Improvement Needed)
12,2025-03-30 10:39:13.415,1,No Feedback,Logistics and Quality
13,2025-05-20 20:37:37.545,5,Movie Selection,Positive Feedback (No Improvement Needed)
13,2025-05-20 20:37:44.571,5,Overall Positive,Positive Feedback (No Improvement Needed)
13,2025-05-20 20:38:57.122,5,Environment,No Feedback
13,2025-05-20 20:40:26.058,5,Movie Selection,No Feedback
13,2025-05-20 20:41:52.266,5,Movie Selection,Other
13,2025-05-20 20:42:27.548,5,Overall Positive,Positive Feedback (No Improvement Needed)
13,2025-05-20 20:42:43.707,5,Overall Positive,Positive Feedback (No Improvement Needed)
13,2025-05-20 20:52:43.595,5,Movie Selection,Movie Selection
13,2025-05-20 21:15:53.324,5,Organization,Positive Feedback (No Improvement Needed)
13,2025-05-20 21:59:43.672,5,Movie Selection,Movie Selection
13,2025-05-20 22:10:09.692,5,Organization,Positive Feedback (No Improvement Needed)
